model,"model parameters, B",language,tokens_used_lape_tokenizer,lang_specific_neurons,lang_specific_neurons_pct,vocab_size,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction,chars_per_token_mean,chars_per_token_std,n_questions_subset,MeanTokenNLL_mean,MeanTokenNLL_std,SequenceNLL_mean,SequenceNLL_std,MeanTokenEntropy_mean,MeanTokenEntropy_std,RAUQ_mean,RAUQ_std,Focus_mean,Focus_std,lexical_similarity_mean,lexical_similarity_std,degmat_mean,degmat_std,eigvallaplacian_mean,eigvallaplacian_std,eccentricity_mean,eccentricity_std,eccentricity_infs_cnt,subset_accuracy,total_questions,total_correct,total_n_unparseable,total_accuracy,n_unseen,unseen_accuracy
qwen2.5-3b-instruct,3,uzbek-cyrillic,31890,787,0.199,151665,8194,31993,3.891872102,1068,0.007041835625,159,84,154,0.1441947566,733,0.686329588,165,0.154494382,2.867513327,1.708537973,145,0.631025,0.231712,40.348665,14.918653,1.449991,0.503215,2.135069,0.229783,17.529039,6.013928,-0.969569,0.078639,0.834701,0.077994,1.157891,0.483503,80.525356,22.982007,20,24.14,735,197,40,26.8,590,27.46
qwen2.5-7b-instruct,7,azerbaijani,31870,850,0.16,151665,9658,31993,3.299855042,1944,0.01281772327,115,29,458,0.2355967078,118,0.06069958848,1106,0.5689300412,2.06463759,1.158781012,145,0.106819,0.109706,4.23966,6.919255,0.270529,0.284501,1.561492,0.156627,3.811499,2.665826,-0.520103,0.305609,0.357835,0.225308,2.717299,0.25952,21.62525,24.580186,3,40.69,735,324,7,44.08,590,44.92
qwen2.5-7b-instruct,7,crimean-tatar-latin,31808,560,0.106,151665,10534,31993,3.019555724,2470,0.01628589325,107,18,568,0.2299595142,132,0.05344129555,1341,0.5429149798,2.401062626,1.437220685,145,0.120375,0.099073,3.622268,4.446326,0.30831,0.255249,1.5678,0.16403,4.517863,4.277097,-0.574809,0.28536,0.40125,0.216517,2.682591,0.249861,20.332596,25.889184,0,38.62,380,160,1,42.11,235,44.26
qwen2.5-7b-instruct,7,crimean-tatar-cyrillic,31878,747,0.141,151665,7824,31993,4.074386503,1143,0.007536346553,139,67,124,0.1084864392,838,0.7331583552,132,0.1154855643,2.986166008,1.637918657,145,0.163418,0.130614,8.3417,8.862351,0.429143,0.335074,1.753374,0.174785,7.738011,4.201652,-0.723222,0.265984,0.541123,0.226036,2.410405,0.420357,42.806078,38.998374,7,41.38,380,155,5,40.79,235,40.43
qwen2.5-7b-instruct,7,english,31958,1049,0.198,151665,21974,31993,1.454355147,5389,0.0355322586,106,16,5389,1,208,0.03859714233,530,0.09834848766,4.1772952,2.926044686,145,0.050609,0.049612,1.176693,1.733481,0.082613,0.071883,1.480039,0.111294,2.482421,0.977204,-0.261809,0.258976,0.19073,0.192913,2.887359,0.144801,13.985411,17.014983,2,80.69,2157,1748,1,81.04,2012,81.06
qwen2.5-7b-instruct,7,karakalpak,31993,840,0.158,151665,9511,31993,3.363789297,2175,0.01434081693,122,39,532,0.2445977011,115,0.05287356322,987,0.4537931034,2.193667365,1.15323833,145,0.341072,0.16889,21.414179,11.233162,0.911109,0.446886,1.915303,0.177178,11.153187,4.303279,-0.867216,0.190624,0.717962,0.159795,1.91382,0.481756,68.820871,32.156456,11,32.41,240,78,3,32.5,95,32.63
qwen2.5-7b-instruct,7,kazakh-cyrillic,31929,1138,0.215,151665,7346,31993,4.346447046,965,0.006362707282,168,88,139,0.1440414508,676,0.7005181347,147,0.1523316062,2.503648721,1.475917775,145,0.111576,0.112996,3.742321,6.545546,0.268,0.273347,1.618094,0.164167,5.477404,3.411757,-0.551673,0.291857,0.424273,0.236729,2.61382,0.318455,29.901512,26.039244,19,44.83,944,416,11,44.07,799,43.93
qwen2.5-7b-instruct,7,kazakh-latin,31883,746,0.141,151665,9267,31993,3.440487752,2024,0.0133452016,122,32,501,0.2475296443,123,0.06077075099,914,0.4515810277,2.040993633,1.044872132,145,0.412062,0.129709,26.32362,8.306516,1.081842,0.326724,1.985414,0.140373,14.581646,4.292102,-0.954386,0.066354,0.810159,0.063362,1.433701,0.52661,86.546019,23.195183,18,33.79,944,333,9,35.28,799,35.54
qwen2.5-7b-instruct,7,russian,31951,406,0.077,151665,12012,31993,2.65992341,2551,0.01681996505,147,70,208,0.08153665229,2551,1,135,0.05292042336,4.865137241,3.582804858,145,0.072752,0.073038,2.145962,2.649858,0.156704,0.149397,1.554024,0.089995,3.720887,2.176032,-0.440613,0.292615,0.32188,0.226944,2.745664,0.275991,19.750129,21.903078,5,65.52,2157,1507,23,69.87,2012,70.18
qwen2.5-7b-instruct,7,tatar,31976,809,0.153,151665,7734,31993,4.134471166,1069,0.007048429104,162,79,142,0.1328344247,782,0.7315247895,149,0.1393826006,2.694114336,1.715031575,145,0.246576,0.16927,15.453886,11.022477,0.670673,0.434352,1.792514,0.180022,7.289441,3.711237,-0.753764,0.241716,0.61088,0.193719,2.269191,0.478348,47.20998,39.228727,8,41.38,839,357,28,42.55,694,42.8
